"flag","content"
"$CAPTAINRAY_INTRODUCTION_01","Willkommen [color=#4a52e1]an Bord[/color]. Sieht so aus, als wäre es Ihre [instant=100]erste Spielsession[/instant]. (Drücken Sie Enter, um fortzufahren)"
"$CAPTAINRAY_INTRODUCTION_02","Möchten Sie ein kurzes Tutorial durchlaufen? Benutzen Sie die Pfeiltasten links und rechts, um zu wählen, und drücken Sie dann Enter."
"$TUTORIAL_INTERACTION","Wenn du ein leuchtendes Objekt siehst, stelle dich daneben und drücke Enter, um damit zu interagieren oder es zu sammeln."
"$LETTER_FOUND","Sie haben [color=yellow]einen [color=blue]Brief[/color] gefunden[/color]!"
"$EVACUATION_EVACUATE","NOTFALL! EVAKUIEREN SIE SOFORT DAS SCHIFF!"
"$EVACUATION_GATHER_NOTES","Alle an Bord, wir haben 5 Minuten, bevor das Schiff explodiert. {player}, sammeln Sie die Briefe, die überall im Schiff verstreut sind. Sie enthalten den Fluchtcode."
"$NOTE_COLLECTED","Sie haben {count} von 6 Briefen gesammelt!"
"$COLLECT_ALL_NOTES","Sammel alle Briefe, bevor das Schiff explodiert!"
"$MOVEMENT_TUTORIAL","[color=yellow]Tipp:[/color] Benutze die Pfeiltasten, um dich im Schiff zu bewegen. Vergiss nicht, alle Briefe zu sammeln!"

