"flag","content"
"$LOADING_INIT_DC_RPC","Discord-RPC wird initialisiert..."
"$LOADING_LD_ASSETS","Ressourcen werden geladen..."
"$LOADING_DONE","Fertig!"
"$MENU_START_BUTTON","Starten"
"$MENU_OPTIONS_BUTTON","Optionen"
"$MENU_CREDITS_BUTTON","Credits"
"$MENU_EXIT_BUTTON","Beenden"
"$COPYRIGHT_NOTICE","© OmgRod 2025 - Alle Rechte vorbehalten"
"$GENERAL_YES","Ja"
"$GENERAL_NO","Nein"
"$GENERAL_PREV","Zurück"
"$GENERAL_NEXT","Weiter"
"$SETTING_VOLUME","Lautstärke"
"$SETTING_TITLE","Optionen"
"$CREDITS_TITLE","Danksagungen"
"$GENERAL_BACK","Zurück"
"$PAUSE_TITLE","PAUSIERT"
"$PAUSE_RESUME","Fortsetzen"
"$PAUSE_OPTIONS","Optionen"
"$PAUSE_MAIN_MENU","Hauptmenü"
"$LANGUAGE_NAME","Deutsch"
"$LANGUAGE_REGION","Deutschland"
"$SETTING_LANGUAGES","Sprachen"
"$GENERAL_QUITTING","Beenden"
"$CREDITS_SECTION_DEVELOPMENT","SPIELDESIGN & ENTWICKLUNG"
"$CREDITS_SECTION_ART","KUNST & GRAFIK"
"$CREDITS_SECTION_AUDIO","AUDIO"
"$CREDITS_SECTION_WRITING","SCHREIBEN"
"$CREDITS_SECTION_TECHNOLOGY","TECHNOLOGIE"
"$CREDITS_SECTION_BACKERS","UNTERSTÜTZER"
"$CREDITS_SECTION_THANKS","BESONDERER DANK"
"$CREDITS_ROLE_GAME_DIRECTOR","Spieldirektor"
"$CREDITS_ROLE_LEAD_PROGRAMMER","Leitender Programmierer"
"$CREDITS_ROLE_GAME_DESIGNER","Spieldesigner"
"$CREDITS_ROLE_LEAD_ARTIST","Leitender Künstler"
"$CREDITS_ROLE_SPRITE_DESIGN","Sprite-Design"
"$CREDITS_ROLE_UI_DESIGN","UI-Design"
"$CREDITS_ROLE_MUSIC_COMPOSER","Musikkomponist"
"$CREDITS_ROLE_SOUND_DESIGN","Sounddesign"
"$CREDITS_ROLE_STORY_WRITER","Geschichtenschreiber"
"$CREDITS_ROLE_DIALOGUE_WRITER","Dialogautor"
"$CREDITS_TECH_HAXEFLIXEL","Erstellt mit HaxeFlixel"
"$CREDITS_TECH_HAXE_OPENFL","Angetrieben von Haxe & OpenFL"
"$CREDITS_THANKS_COMMUNITY","Die HaxeFlixel-Community"
"$CREDITS_THANK_YOU","DANKE FÜRS SPIELEN!"
"$CREDITS_SKIP_HINT","Drücke ESC zum Überspringen"
"$SPLASH_01","Jetzt mit 100% mehr Platz!"
"$SPLASH_02","Prozedural generierter Spaß!"
"$SPLASH_03","Keine Microtransaktionen!"
"$SPLASH_04","Du bist nicht allein..."
"$SPLASH_05","Drücke E zum Interagieren!"
"$SPLASH_06","Asteroiden nicht enthalten."
"$SPLASH_07","Erstellt mit HaxeFlixel!"
"$SPLASH_08","Vergiss nicht zu speichern!"
"$SPLASH_09","Der Weltraum ist groß. Wirklich groß."
"$SPLASH_10","Kann kosmische Strahlung enthalten!"
"$SPLASH_11","Der Kuchen ist ein Planet!"
"$SPLASH_12","Batterien nicht enthalten."
"$SPLASH_13","Jetzt mit mehr Pixeln!"
"$SPLASH_14","Münze einwerfen zum Fortfahren!"
"$SPLASH_15","Keine Schwerkraft, keine Probleme!"
"$SAVESELECT_TITLE","Speicherplatz wählen"
"$SAVESELECT_NEW_SAVE","Neues Spiel"
"$SAVESELECT_NAME_PROMPT","Geben Sie Ihren Namen ein:"
"$SAVESELECT_NAME_HINT","ENTER zum Bestätigen  •  ESC zum Abbrechen"
"$SAVESELECT_DELETE_CONFIRM","Dieses Spiel löschen?"
"$SAVESELECT_DELETE_WARNING","Dies kann nicht rückgängig gemacht werden!"
"$SAVESELECT_BTN_CONTINUE","Fortfahren"
"$SAVESELECT_BTN_DELETE","Löschen"
"$SAVESELECT_BTN_YES_DELETE","Ja, Löschen"
"$SAVESELECT_BTN_CANCEL","Abbrechen"
