"flag","content"
"$LOADING_INIT_DC_RPC","Initialising Discord RPC..."
"$LOADING_LD_ASSETS","Loading assets..."
"$LOADING_DONE","Done!"
"$MENU_START_BUTTON","Start"
"$MENU_OPTIONS_BUTTON","Options"
"$MENU_CREDITS_BUTTON","Credits"
"$MENU_EXIT_BUTTON","Exit"
"$COPYRIGHT_NOTICE","© OmgRod 2025 - All Rights Reserved"
"$GENERAL_YES","Yes"
"$GENERAL_NO","No"
"$SETTING_VOLUME","Volume"
"$SETTING_TITLE","Options"
"$CREDITS_TITLE","Credits"
"$GENERAL_BACK","Back"
"$GENERAL_PREV","Prev"
"$GENERAL_NEXT","Next"
"$LANGUAGE_NAME","English"
"$LANGUAGE_REGION","United Kingdom"
"$SETTING_LANGUAGES","Languages"
"$GENERAL_QUITTING","Quitting"
"$CREDITS_GAME_TITLE","COSMIC CITIES"
"$CREDITS_SECTION_DEVELOPMENT","GAME DESIGN & DEVELOPMENT"
"$CREDITS_SECTION_ART","ART & GRAPHICS"
"$CREDITS_SECTION_AUDIO","AUDIO"
"$CREDITS_SECTION_WRITING","WRITING"
"$CREDITS_SECTION_TECHNOLOGY","TECHNOLOGY"
"$CREDITS_SECTION_THANKS","SPECIAL THANKS"
"$CREDITS_ROLE_GAME_DIRECTOR","Game Director"
"$CREDITS_ROLE_LEAD_PROGRAMMER","Lead Programmer"
"$CREDITS_ROLE_GAME_DESIGNER","Game Designer"
"$CREDITS_ROLE_LEAD_ARTIST","Lead Artist"
"$CREDITS_ROLE_SPRITE_DESIGN","Sprite Design"
"$CREDITS_ROLE_UI_DESIGN","UI Design"
"$CREDITS_ROLE_MUSIC_COMPOSER","Music Composer"
"$CREDITS_ROLE_SOUND_DESIGN","Sound Design"
"$CREDITS_ROLE_STORY_WRITER","Story Writer"
"$CREDITS_ROLE_DIALOGUE_WRITER","Dialogue Writer"
"$CREDITS_TECH_HAXEFLIXEL","Built with HaxeFlixel"
"$CREDITS_TECH_HAXE_OPENFL","Powered by Haxe & OpenFL"
"$CREDITS_THANKS_COMMUNITY","The HaxeFlixel Community"
"$CREDITS_THANKS_DISCORD","Discord.gg/haxeflixel"
"$CREDITS_THANK_YOU","THANK YOU FOR PLAYING!"
"$CREDITS_SKIP_HINT","Press ESC or BACK to skip"
