"flag","content"
"$LOADING_INIT_DC_RPC","Initializing Discord RPC..."
"$LOADING_LD_ASSETS","Loading assets..."
"$LOADING_DONE","Done!"
"$MENU_START_BUTTON","Start"
"$MENU_OPTIONS_BUTTON","Options"
"$MENU_CREDITS_BUTTON","Credits"
"$MENU_EXIT_BUTTON","Exit"
"$COPYRIGHT_NOTICE","© OmgRod 2025 - All Rights Reserved"
"$GENERAL_YES","Yes"
"$GENERAL_NO","No"
"$SETTING_VOLUME","Volume"
"$SETTING_TITLE","Options"
"$CREDITS_TITLE","Credits"
"$GENERAL_PREV","Prev"
"$GENERAL_NEXT","Next"
"$GENERAL_BACK","Back"
"$PAUSE_TITLE","PAUSED"
"$PAUSE_RESUME","Resume"
"$PAUSE_OPTIONS","Options"
"$PAUSE_MAIN_MENU","Main Menu"
"$LANGUAGE_NAME","English"
"$LANGUAGE_REGION","United States"
"$SETTING_LANGUAGES","Languages"
"$GENERAL_QUITTING","Quitting"
"$CREDITS_SECTION_DEVELOPMENT","GAME DESIGN & DEVELOPMENT"
"$CREDITS_SECTION_ART","ART & GRAPHICS"
"$CREDITS_SECTION_AUDIO","AUDIO"
"$CREDITS_SECTION_WRITING","WRITING"
"$CREDITS_SECTION_TECHNOLOGY","TECHNOLOGY"
"$CREDITS_SECTION_BACKERS","BACKERS"
"$CREDITS_SECTION_THANKS","SPECIAL THANKS"
"$CREDITS_ROLE_GAME_DIRECTOR","Game Director"
"$CREDITS_ROLE_LEAD_PROGRAMMER","Lead Programmer"
"$CREDITS_ROLE_GAME_DESIGNER","Game Designer"
"$CREDITS_ROLE_LEAD_ARTIST","Lead Artist"
"$CREDITS_ROLE_SPRITE_DESIGN","Sprite Design"
"$CREDITS_ROLE_UI_DESIGN","UI Design"
"$CREDITS_ROLE_MUSIC_COMPOSER","Music Composer"
"$CREDITS_ROLE_SOUND_DESIGN","Sound Design"
"$CREDITS_ROLE_STORY_WRITER","Story Writer"
"$CREDITS_ROLE_DIALOGUE_WRITER","Dialogue Writer"
"$CREDITS_TECH_HAXEFLIXEL","Built with HaxeFlixel"
"$CREDITS_TECH_HAXE_OPENFL","Powered by Haxe & OpenFL"
"$CREDITS_THANKS_COMMUNITY","The HaxeFlixel Community"
"$CREDITS_THANK_YOU","THANK YOU FOR PLAYING!"
"$CREDITS_SKIP_HINT","Press ESC to skip"
"$SPLASH_01","Now with 100% more space!"
"$SPLASH_02","Procedurally generated fun!"
"$SPLASH_03","No microtransactions!"
"$SPLASH_04","You are not alone..."
"$SPLASH_05","Press E to interact!"
"$SPLASH_06","Asteroids not included."
"$SPLASH_07","Made with HaxeFlixel!"
"$SPLASH_08","Don't forget to save!"
"$SPLASH_09","Space is big. Really big."
"$SPLASH_10","May contain cosmic rays!"
"$SPLASH_11","The cake is a planet!"
"$SPLASH_12","Batteries not included."
"$SPLASH_13","Now with more pixels!"
"$SPLASH_14","Insert coin to continue!"
"$SPLASH_15","Zero gravity, zero worries!"
"$SAVESELECT_TITLE","Select Save Slot"
"$SAVESELECT_NEW_SAVE","New Save"
"$SAVESELECT_NAME_PROMPT","Enter your name:"
"$SAVESELECT_NAME_HINT","ENTER to confirm  •  ESC to cancel"
"$SAVESELECT_DELETE_CONFIRM","Delete this save?"
"$SAVESELECT_DELETE_WARNING","This cannot be undone!"
"$SAVESELECT_BTN_CONTINUE","Continue"
"$SAVESELECT_BTN_DELETE","Delete"
"$SAVESELECT_BTN_YES_DELETE","Yes, Delete"
"$SAVESELECT_BTN_CANCEL","Cancel"
"$DIALOG_SPEAKER_NAME","CAPTAIN RAY:"
"$DIALOG_SKIP_HINT","Press X to skip, ENTER to continue"
"$SETTING_CONTROLS","Controls"
"$CONTROLS_TITLE","Controls"
"$CONTROLS_MOVE_LEFT","Move Left"
"$CONTROLS_MOVE_RIGHT","Move Right"
"$CONTROLS_MOVE_UP","Move Up"
"$CONTROLS_MOVE_DOWN","Move Down"
"$CONTROLS_SKIP_DIALOG","Skip Dialog"
"$CONTROLS_ADVANCE_DIALOG","Advance Dialog"
"$CONTROLS_PAUSE_MENU","Pause Menu"
"$CONTROLS_QUIT_GAME","Quit Game"
"$CONTROLS_RESET","Reset"
"$CONTROLS_BACK","Back"
"$MODS_TITLE","Mods"
"$MODS_STATUS_ON","[ON]"
"$MODS_STATUS_OFF","[OFF]"
"$MODS_INSTRUCTIONS","Use UP/DOWN to navigate, ENTER to toggle"
"$CONTROLS_PRESS_ANY_KEY","Press any key..."
"$CHAPTER_1_TITLE","Chapter 1 - The Exodus"
