"flag","content"
"flag","content"
"$CAPTAINRAY_INTRODUCTION_01","Bienvenido [color=#4a52e1]a bordo[/color]. Parece que es tu [instant=100]primera vez[/instant] jugando. (Presiona Enter para continuar)"
"$CAPTAINRAY_INTRODUCTION_02","¿Te gustaría hacer un tutorial rápido? Usa las teclas izquierda y derecha para elegir, luego presiona Enter."
"$TUTORIAL_INTERACTION","Cuando veas un objeto brillante, acércate a él y presiona Enter para interactuar con él o recogerlo."
"$LETTER_FOUND","¡Has [color=yellow]encontrado[/color] una [color=blue]carta[/color]!"
"$EVACUATION_EVACUATE","¡EMERGENCIA! ¡EVACÚA LA NAVE INMEDIATAMENTE!"
"$EVACUATION_GATHER_NOTES","Todos, tenemos 5 minutos antes de que la nave explote. {player}, recoge las cartas esparcidas por la nave. Contienen el código de escape."
"$NOTE_COLLECTED","¡Has recogido {count} de 6 cartas!"
"$COLLECT_ALL_NOTES","¡Recoge todas las cartas antes de que la nave explote!"
"$CAPTAINRAY_INTRODUCTION_02","¿Te gustaría pasar por un breve tutorial? Usa las teclas izquierda y derecha para elegir, luego pulsa Enter."
"$LETTER_FOUND","¡Has [color=yellow]encontrado[/color] una [color=blue]letra[/color]!"
"$EVACUATION_EVACUATE","TODOS ABANDONAR EL BARCO ANTES DE QUE EXPLOTE"
"$EVACUATION_GATHER_NOTES","{player}, por favor recoge todos los apuntes alrededor del barco antes de que explote para obtener el código de escape. Tienes 10 minutos."
"$NOTE_COLLECTED","¡Recogiste {count} de 6 notas!"
"$COLLECT_ALL_NOTES","¡Recoge todas las cartas antes de que el barco explote!"
"$MOVEMENT_TUTORIAL","[color=yellow]Consejo:[/color] Usa las teclas de flecha para moverte por el barco. ¡Recuerda recoger todas las cartas!"

