"flag","content"
"$LOADING_INIT_DC_RPC","Inicializando Discord RPC..."
"$LOADING_LD_ASSETS","Cargando recursos..."
"$LOADING_DONE","¡Listo!"
"$MENU_START_BUTTON","Comenzar"
"$MENU_OPTIONS_BUTTON","Opciones"
"$MENU_CREDITS_BUTTON","Créditos"
"$MENU_EXIT_BUTTON","Salir"
"$COPYRIGHT_NOTICE","© OmgRod 2025 - Todos los derechos reservados"
"$GENERAL_YES","Sí"
"$GENERAL_NO","No"
"$GENERAL_PREV","Atrás"
"$GENERAL_NEXT","Siguiente"
"$SETTING_VOLUME","Volumen"
"$SETTING_TITLE","Opciones"
"$CREDITS_TITLE","Créditos"
"$GENERAL_BACK","Atrás"
"$PAUSE_TITLE","EN PAUSA"
"$PAUSE_RESUME","Reanudar"
"$PAUSE_OPTIONS","Opciones"
"$PAUSE_MAIN_MENU","Menú Principal"
"$LANGUAGE_NAME","Español"
"$LANGUAGE_REGION","España"
"$SETTING_LANGUAGES","Idiomas"
"$GENERAL_QUITTING","Saliendo"
"$CREDITS_SECTION_DEVELOPMENT","DISEÑO Y DESARROLLO DEL JUEGO"
"$CREDITS_SECTION_ART","ARTE Y GRÁFICOS"
"$CREDITS_SECTION_AUDIO","AUDIO"
"$CREDITS_SECTION_WRITING","ESCRITURA"
"$CREDITS_SECTION_TECHNOLOGY","TECNOLOGÍA"
"$CREDITS_SECTION_BACKERS","PATROCINADORES"
"$CREDITS_SECTION_THANKS","AGRADECIMIENTOS ESPECIALES"
"$CREDITS_ROLE_GAME_DIRECTOR","Director del Juego"
"$CREDITS_ROLE_LEAD_PROGRAMMER","Programador Principal"
"$CREDITS_ROLE_GAME_DESIGNER","Diseñador de Juegos"
"$CREDITS_ROLE_LEAD_ARTIST","Artista Principal"
"$CREDITS_ROLE_SPRITE_DESIGN","Diseño de Sprites"
"$CREDITS_ROLE_UI_DESIGN","Diseño de UI"
"$CREDITS_ROLE_MUSIC_COMPOSER","Compositor de Música"
"$CREDITS_ROLE_SOUND_DESIGN","Diseño de Sonido"
"$CREDITS_ROLE_STORY_WRITER","Guionista"
"$CREDITS_ROLE_DIALOGUE_WRITER","Escritor de Diálogos"
"$CREDITS_TECH_HAXEFLIXEL","Creado con HaxeFlixel"
"$CREDITS_TECH_HAXE_OPENFL","Impulsado por Haxe & OpenFL"
"$CREDITS_THANKS_COMMUNITY","La Comunidad de HaxeFlixel"
"$CREDITS_THANK_YOU","¡GRACIAS POR JUGAR!"
"$CREDITS_SKIP_HINT","Presiona ESC para saltar"
"$SPLASH_01","¡Ahora con 100% más espacio!"
"$SPLASH_02","¡Diversión generada proceduralmente!"
"$SPLASH_03","¡Sin microtransacciones!"
"$SPLASH_04","No estás solo..."
"$SPLASH_05","¡Presiona E para interactuar!"
"$SPLASH_06","Asteroides no incluidos."
"$SPLASH_07","¡Hecho con HaxeFlixel!"
"$SPLASH_08","¡No olvides guardar!"
"$SPLASH_09","El espacio es grande. Realmente grande."
"$SPLASH_10","¡Puede contener rayos cósmicos!"
"$SPLASH_11","¡El pastel es un planeta!"
"$SPLASH_12","Baterías no incluidas."
"$SPLASH_13","¡Ahora con más píxeles!"
"$SPLASH_14","¡Inserta moneda para continuar!"
"$SPLASH_15","¡Gravedad cero, cero preocupaciones!"
"$SAVESELECT_TITLE","Seleccionar Ranura de Guardado"
"$SAVESELECT_NEW_SAVE","Nuevo Juego"
"$SAVESELECT_NAME_PROMPT","Ingrese su nombre:"
"$SAVESELECT_NAME_HINT","ENTER para confirmar  •  ESC para cancelar"
"$SAVESELECT_DELETE_CONFIRM","¿Eliminar este guardado?"
"$SAVESELECT_DELETE_WARNING","¡Esto no se puede deshacer!"
"$SAVESELECT_BTN_CONTINUE","Continuar"
"$SAVESELECT_BTN_DELETE","Eliminar"
"$SAVESELECT_BTN_YES_DELETE","Sí, Eliminar"
"$SAVESELECT_BTN_CANCEL","Cancelar"
