"flag","content"
"$CAPTAINRAY_INTRODUCTION_01","Bienvenue [color=#4a52e1]à bord[/color]. On dirait que c'est votre [instant=100]première partie[/instant]. (Appuyez sur Entrée pour continuer)"
"$CAPTAINRAY_INTRODUCTION_02","Voulez-vous suivre un bref tutoriel ? Utilisez les touches gauche et droite pour choisir, puis appuyez sur Entrée."
"$TUTORIAL_INTERACTION","Quand vous voyez un objet lumineux, approchez-vous et appuyez sur Entrée pour interagir avec lui ou le collecter."
"$LETTER_FOUND","Vous avez [color=yellow]trouvé[/color] une [color=blue]lettre[/color] !"
"$EVACUATION_EVACUATE","URGENCE ! ÉVACUEZ LE NAVIRE IMMÉDIATEMENT !"
"$EVACUATION_GATHER_NOTES","Tous les mains, nous avons 5 minutes avant que le navire n'explose. {player}, collectez les lettres dispersées dans le navire. Elles contiennent le code d'évasion."
"$NOTE_COLLECTED","Vous avez collecté {count} lettres sur 6 !"
"$COLLECT_ALL_NOTES","Collectez toutes les lettres avant l'explosion du navire!"
"$MOVEMENT_TUTORIAL","[color=yellow]Conseil:[/color] Utilisez les touches fléchées pour vous déplacer dans le navire. N'oubliez pas de collecter toutes les lettres!"

