"flag","content"
"$CAPTAINRAY_INTRODUCTION_01","ようこそ [color=#4a52e1]乗船[/color] しました。[instant=100]初めて[/instant]のプレイのようですね。 (続けるにはEnterを押してください)"
"$CAPTAINRAY_INTRODUCTION_02","簡単なチュートリアルを進めますか？ 左右キーで選択し、Enterを押してください。"
"$TUTORIAL_INTERACTION","光るオブジェクトが見えたら、その側に立ってEnterキーを押すと、それとやり取りしたり、集めたりできます。"
"$LETTER_FOUND","[color=yellow]文字[/color] を [color=blue]見つけました[/color]！"
"$EVACUATION_EVACUATE","緊急事態！直ちに船を避難してください！"
"$EVACUATION_GATHER_NOTES","全員、船が爆発するまで5分です。{player}、散らばっている手紙を集めてください。脱出コードが入っています。"
"$NOTE_COLLECTED","6つの手紙のうち{count}つを集めました！"
"$COLLECT_ALL_NOTES","船が爆発する前にすべての手紙を集めてください！"
"$MOVEMENT_TUTORIAL","[color=yellow]ヒント:[/color] 矢印キーを使って船内を動き回りましょう。すべての手紙を集めることを忘れないでください！"

