"flag","content"
"$LOADING_INIT_DC_RPC","Discord RPCを初期化中..."
"$LOADING_LD_ASSETS","アセットを読み込み中..."
"$LOADING_DONE","完了！"
"$MENU_START_BUTTON","スタート"
"$MENU_OPTIONS_BUTTON","オプション"
"$MENU_CREDITS_BUTTON","クレジット"
"$MENU_EXIT_BUTTON","終了"
"$COPYRIGHT_NOTICE","© OmgRod 2025 - 全著作権所有"
"$GENERAL_YES","はい"
"$GENERAL_NO","いいえ"
"$SETTING_VOLUME","音量"
"$SETTING_TITLE","オプション"
"$CREDITS_TITLE","クレジット"
"$GENERAL_PREV","前へ"
"$GENERAL_NEXT","次へ"
"$GENERAL_BACK","戻る"
"$PAUSE_TITLE","一時停止"
"$PAUSE_RESUME","再開"
"$PAUSE_OPTIONS","オプション"
"$PAUSE_MAIN_MENU","メインメニュー"
"$LANGUAGE_NAME","日本語"
"$LANGUAGE_REGION","日本"
"$SETTING_LANGUAGES","言語"
"$GENERAL_QUITTING","終了中"
"$CREDITS_SECTION_DEVELOPMENT","ゲームデザイン＆開発"
"$CREDITS_SECTION_ART","アート＆グラフィック"
"$CREDITS_SECTION_AUDIO","オーディオ"
"$CREDITS_SECTION_WRITING","執筆"
"$CREDITS_SECTION_TECHNOLOGY","テクノロジー"
"$CREDITS_SECTION_BACKERS","支援者"
"$CREDITS_SECTION_THANKS","スペシャルサンクス"
"$CREDITS_ROLE_GAME_DIRECTOR","ゲームディレクター"
"$CREDITS_ROLE_LEAD_PROGRAMMER","リードプログラマー"
"$CREDITS_ROLE_GAME_DESIGNER","ゲームデザイナー"
"$CREDITS_ROLE_LEAD_ARTIST","リードアーティスト"
"$CREDITS_ROLE_SPRITE_DESIGN","スプライトデザイン"
"$CREDITS_ROLE_UI_DESIGN","UIデザイン"
"$CREDITS_ROLE_MUSIC_COMPOSER","音楽作曲者"
"$CREDITS_ROLE_SOUND_DESIGN","サウンドデザイン"
"$CREDITS_ROLE_STORY_WRITER","ストーリーライター"
"$CREDITS_ROLE_DIALOGUE_WRITER","ダイアログライター"
"$CREDITS_TECH_HAXEFLIXEL","HaxeFlixelで作成"
"$CREDITS_TECH_HAXE_OPENFL","Haxe & OpenFLで動作"
"$CREDITS_THANKS_COMMUNITY","HaxeFlixelコミュニティ"
"$CREDITS_THANK_YOU","プレイしてくれてありがとう！"
"$CREDITS_SKIP_HINT","ESCキーでスキップ"
"$SPLASH_01","100%宇宙拡張版！"
"$SPLASH_02","手続き型で生成されたゲームプレイ！"
"$SPLASH_03","マイクロトランザクションなし！"
"$SPLASH_04","君は一人じゃない..."
"$SPLASH_05","Eキーで相互作用する！"
"$SPLASH_06","小惑星は含まれていません。"
"$SPLASH_07","HaxeFlixelで製作！"
"$SPLASH_08","セーブしたことを忘れずに！"
"$SPLASH_09","宇宙は大きい。本当に大きい。"
"$SPLASH_10","宇宙線が含まれている場合があります！"
"$SPLASH_11","ケーキは惑星です！"
"$SPLASH_12","電池は含まれていません。"
"$SPLASH_13","ピクセルが増えました！"
"$SPLASH_14","コイントスでプレイ続行！"
"$SPLASH_15","ゼロ重力、ゼロ問題！"
"$SAVESELECT_TITLE","セーブスロットを選択"
"$SAVESELECT_NEW_SAVE","新規ゲーム"
"$SAVESELECT_NAME_PROMPT","名前を入力："
"$SAVESELECT_NAME_HINT","ENTER で確認  •  ESC でキャンセル"
"$SAVESELECT_DELETE_CONFIRM","このセーブを削除しますか？"
"$SAVESELECT_DELETE_WARNING","これは取り消せません！"
"$SAVESELECT_BTN_CONTINUE","続行"
"$SAVESELECT_BTN_DELETE","削除"
"$SAVESELECT_BTN_YES_DELETE","はい、削除"
"$SAVESELECT_BTN_CANCEL","キャンセル"
"$DIALOG_SPEAKER_NAME","キャプテン・レイ:"
"$DIALOG_SKIP_HINT","Xでスキップ、ENTERで続行"
"$SETTING_CONTROLS","コントロール"
"$CONTROLS_TITLE","コントロール"
"$CONTROLS_MOVE_LEFT","左に移動"
"$CONTROLS_MOVE_RIGHT","右に移動"
"$CONTROLS_MOVE_UP","上に移動"
"$CONTROLS_MOVE_DOWN","下に移動"
"$CONTROLS_SKIP_DIALOG","ダイアログをスキップ"
"$CONTROLS_ADVANCE_DIALOG","ダイアログを進める"
"$CONTROLS_PAUSE_MENU","ポーズメニュー"
"$CONTROLS_QUIT_GAME","ゲーム終了"
"$CONTROLS_RESET","リセット"
"$CONTROLS_BACK","戻る"
"$MODS_TITLE","Mods"
"$MODS_STATUS_ON","[ON]"
"$MODS_STATUS_OFF","[OFF]"
"$MODS_INSTRUCTIONS","上/下で移動、ENTERで切り替え"
"$CONTROLS_PRESS_ANY_KEY","任意のキーを押してください..."
"$CHAPTER_1_TITLE","第1章 - 出国"
