"flag","content"
"$LOADING_INIT_DC_RPC","Discord RPC 초기화 중..."
"$LOADING_LD_ASSETS","에셋 로딩 중..."
"$LOADING_DONE","완료!"
"$MENU_START_BUTTON","시작"
"$MENU_OPTIONS_BUTTON","옵션"
"$MENU_CREDITS_BUTTON","크레딧"
"$MENU_EXIT_BUTTON","종료"
"$COPYRIGHT_NOTICE","© OmgRod 2025 - 모든 권리 보유"
"$GENERAL_YES","예"
"$GENERAL_NO","아니요"
"$SETTING_VOLUME","볼륨"
"$SETTING_TITLE","옵션"
"$CREDITS_TITLE","크레딧"
"$GENERAL_PREV","이전"
"$GENERAL_NEXT","다음"
"$GENERAL_BACK","뒤로"
"$LANGUAGE_NAME","한국어"
"$LANGUAGE_REGION","대한민국"
"$SETTING_LANGUAGES","언어"
"$GENERAL_QUITTING","종료 중"
