"flag","content"
"$CAPTAINRAY_INTRODUCTION_01","Bem-vindo [color=#4a52e1]a bordo[/color]. Parece que é sua [instant=100]primeira vez[/instant] jogando. (Pressione Enter para continuar)"
"$CAPTAINRAY_INTRODUCTION_02","Gostaria de passar por um breve tutorial? Use as teclas esquerda e direita para escolher, depois pressione Enter."
"$TUTORIAL_INTERACTION","Quando você vir um objeto brilhante, fique ao lado dele e pressione Enter para interagir ou coletá-lo."
"$LETTER_FOUND","Você [color=yellow]encontrou[/color] uma [color=blue]carta[/color]!"
"$EVACUATION_EVACUATE","EMERGÊNCIA! EVACUE A NAVE IMEDIATAMENTE!"
"$EVACUATION_GATHER_NOTES","Pessoal, temos 5 minutos antes da nave explodir. {player}, reúna as cartas espalhadas pela nave. Elas contêm o código de escape."
"$NOTE_COLLECTED","Você coletou {count} de 6 cartas!"
"$COLLECT_ALL_NOTES","Colete todas as cartas antes da nave explodir!"
"$MOVEMENT_TUTORIAL","[color=yellow]Dica:[/color] Use as setas para se mover pela nave. Lembre-se de coletar todas as cartas!"

