"flag","content"
"$LOADING_INIT_DC_RPC","Inicializando o RPC do Discord..."
"$LOADING_LD_ASSETS","Carregando recursos..."
"$LOADING_DONE","Concluído!"
"$MENU_START_BUTTON","Iniciar"
"$MENU_OPTIONS_BUTTON","Opções"
"$MENU_CREDITS_BUTTON","Créditos"
"$MENU_EXIT_BUTTON","Sair"
"$COPYRIGHT_NOTICE","© OmgRod 2025 - Todos os direitos reservados"
"$SETTING_VOLUME","Volume"
"$SETTING_TITLE","Opções"
"$CREDITS_TITLE","Créditos"
"$GENERAL_YES","Sim"
"$GENERAL_NO","Não"
"$GENERAL_BACK","Voltar"
"$PAUSE_TITLE","PAUSADO"
"$PAUSE_RESUME","Retomar"
"$PAUSE_OPTIONS","Opções"
"$PAUSE_MAIN_MENU","Menu Principal"
"$GENERAL_PREV","Anterior"
"$GENERAL_NEXT","Próximo"
"$LANGUAGE_NAME","Português"
"$LANGUAGE_REGION","Portugal"
"$SETTING_LANGUAGES","Línguas"
"$GENERAL_QUITTING","Saindo"
"$CREDITS_SECTION_DEVELOPMENT","DESENVOLVIMENTO E DESIGN DO JOGO"
"$CREDITS_SECTION_ART","ARTE E GRÁFICOS"
"$CREDITS_SECTION_AUDIO","ÁUDIO"
"$CREDITS_SECTION_WRITING","ESCRITA"
"$CREDITS_SECTION_TECHNOLOGY","TECNOLOGIA"
"$CREDITS_SECTION_BACKERS","APOIADORES"
"$CREDITS_SECTION_THANKS","AGRADECIMENTOS ESPECIAIS"
"$CREDITS_ROLE_GAME_DIRECTOR","Diretor de Jogo"
"$CREDITS_ROLE_LEAD_PROGRAMMER","Programador Principal"
"$CREDITS_ROLE_GAME_DESIGNER","Designer de Jogo"
"$CREDITS_ROLE_LEAD_ARTIST","Artista Principal"
"$CREDITS_ROLE_SPRITE_DESIGN","Design de Sprites"
"$CREDITS_ROLE_UI_DESIGN","Design de UI"
"$CREDITS_ROLE_MUSIC_COMPOSER","Compositor de Música"
"$CREDITS_ROLE_SOUND_DESIGN","Design de Som"
"$CREDITS_ROLE_STORY_WRITER","Roteirista"
"$CREDITS_ROLE_DIALOGUE_WRITER","Escritor de Diálogos"
"$CREDITS_TECH_HAXEFLIXEL","Feito com HaxeFlixel"
"$CREDITS_TECH_HAXE_OPENFL","Impulsionado por Haxe & OpenFL"
"$CREDITS_THANKS_COMMUNITY","A Comunidade HaxeFlixel"
"$CREDITS_THANK_YOU","OBRIGADO POR JOGAR!"
"$CREDITS_SKIP_HINT","Pressione ESC para saltar"
"$SPLASH_01","Agora com 100% mais espaço!"
"$SPLASH_02","Diversão gerada proceduralmente!"
"$SPLASH_03","Sem microtransações!"
"$SPLASH_04","Você não está sozinho..."
"$SPLASH_05","Pressione E para interagir!"
"$SPLASH_06","Asteroides não inclusos."
"$SPLASH_07","Feito com HaxeFlixel!"
"$SPLASH_08","Não se esqueça de salvar!"
"$SPLASH_09","O espaço é grande. Muito grande."
"$SPLASH_10","Pode conter raios cósmicos!"
"$SPLASH_11","O bolo é um planeta!"
"$SPLASH_12","Baterias não inclusos."
"$SPLASH_13","Agora com mais pixels!"
"$SPLASH_14","Insira moeda para continuar!"
"$SPLASH_15","Gravidade zero, sem preocupações!"
"$SAVESELECT_TITLE","Selecionar Slot de Salvamento"
"$SAVESELECT_NEW_SAVE","Novo Jogo"
"$SAVESELECT_NAME_PROMPT","Digite seu nome:"
"$SAVESELECT_NAME_HINT","ENTER para confirmar  •  ESC para cancelar"
"$SAVESELECT_DELETE_CONFIRM","Deletar este salvamento?"
"$SAVESELECT_DELETE_WARNING","Isso não pode ser desfeito!"
"$SAVESELECT_BTN_CONTINUE","Continuar"
"$SAVESELECT_BTN_DELETE","Deletar"
"$SAVESELECT_BTN_YES_DELETE","Sim, Deletar"
"$SAVESELECT_BTN_CANCEL","Cancelar"
