"flag","content"
"$CAPTAINRAY_INTRODUCTION_01","Bem-vindo [color=#4a52e1]a bordo[/color]. Parece que é a sua [instant=100]primeira vez[/color] a jogar. (Prima Enter para continuar)"
"$CAPTAINRAY_INTRODUCTION_02","Gostaria de passar por um breve tutorial? Use as teclas esquerda e direita para escolher, depois prima Enter."
"$TUTORIAL_INTERACTION","Quando vir um objeto brilhante, fique ao lado dele e prima Enter para interagir ou recolhê-lo."
"$LETTER_FOUND","Você [color=yellow]encontrou[/color] uma [color=blue]carta[/color]!"
"$EVACUATION_EVACUATE","EMERGÊNCIA! EVACUE A NAVE IMEDIATAMENTE!"
"$EVACUATION_GATHER_NOTES","Pessoal, temos 5 minutos antes da nave explodir. {player}, reúna as cartas espalhadas pela nave. Elas contêm o código de escape."
"$NOTE_COLLECTED","Recolheu {count} de 6 cartas!"
"$COLLECT_ALL_NOTES","Recolha todas as cartas antes de a nave explodir!"
"$MOVEMENT_TUTORIAL","[color=yellow]Dica:[/color] Use as setas para se mover pela nave. Lembre-se de recolher todas as cartas!"

