"flag","content"
"$LOADING_INIT_DC_RPC","Inicializando RPC do Discord..."
"$LOADING_LD_ASSETS","Carregando recursos..."
"$LOADING_DONE","Concluído!"
"$MENU_START_BUTTON","Iniciar"
"$MENU_OPTIONS_BUTTON","Opções"
"$MENU_CREDITS_BUTTON","Créditos"
"$MENU_EXIT_BUTTON","Sair"
"$COPYRIGHT_NOTICE","© OmgRod 2025 - Todos os direitos reservados"
"$SETTING_VOLUME","Volume"
"$SETTING_TITLE","Opções"
"$CREDITS_TITLE","Créditos"
"$GENERAL_YES","Sim"
"$GENERAL_NO","Não"
"$GENERAL_BACK","Voltar"
"$PAUSE_TITLE","PAUSADO"
"$PAUSE_RESUME","Retomar"
"$PAUSE_OPTIONS","Opções"
"$PAUSE_MAIN_MENU","Menu Principal"
"$GENERAL_PREV","Anterior"
"$GENERAL_NEXT","Seguinte"
"$LANGUAGE_NAME","Português"
"$LANGUAGE_REGION","Brasil"
"$SETTING_LANGUAGES","Línguas"
"$GENERAL_QUITTING","A Sair"
"$CREDITS_SECTION_DEVELOPMENT","DESENVOLVIMENTO E DESIGN DO JOGO"
"$CREDITS_SECTION_ART","ARTE E GRÁFICOS"
"$CREDITS_SECTION_AUDIO","ÁUDIO"
"$CREDITS_SECTION_WRITING","ESCRITA"
"$CREDITS_SECTION_TECHNOLOGY","TECNOLOGIA"
"$CREDITS_SECTION_BACKERS","APOIANTES"
"$CREDITS_SECTION_THANKS","AGRADECIMENTOS ESPECIAIS"
"$CREDITS_ROLE_GAME_DIRECTOR","Diretor de Jogo"
"$CREDITS_ROLE_LEAD_PROGRAMMER","Programador Principal"
"$CREDITS_ROLE_GAME_DESIGNER","Designer de Jogo"
"$CREDITS_ROLE_LEAD_ARTIST","Artista Principal"
"$CREDITS_ROLE_SPRITE_DESIGN","Design de Sprites"
"$CREDITS_ROLE_UI_DESIGN","Design de UI"
"$CREDITS_ROLE_MUSIC_COMPOSER","Compositor de Música"
"$CREDITS_ROLE_SOUND_DESIGN","Design de Som"
"$CREDITS_ROLE_STORY_WRITER","Roteirista"
"$CREDITS_ROLE_DIALOGUE_WRITER","Escritor de Diálogos"
"$CREDITS_TECH_HAXEFLIXEL","Feito com HaxeFlixel"
"$CREDITS_TECH_HAXE_OPENFL","Impulsionado por Haxe & OpenFL"
"$CREDITS_THANKS_COMMUNITY","A Comunidade HaxeFlixel"
"$CREDITS_THANK_YOU","OBRIGADO POR JOGAR!"
"$CREDITS_SKIP_HINT","Pressione ESC para saltar"
"$SPLASH_01","Agora com 100% mais espaço!"
"$SPLASH_02","Diversão gerada proceduralmente!"
"$SPLASH_03","Sem microtransações!"
"$SPLASH_04","Você não está sozinho..."
"$SPLASH_05","Pressione E para interagir!"
"$SPLASH_06","Asteroides não inclusos."
"$SPLASH_07","Feito com HaxeFlixel!"
"$SPLASH_08","Não se esqueça de guardar!"
"$SPLASH_09","O espaço é grande. Muito grande."
"$SPLASH_10","Pode conter raios cósmicos!"
"$SPLASH_11","O bolo é um planeta!"
"$SPLASH_12","Baterias não inclusos."
"$SPLASH_13","Agora com mais píxeis!"
"$SPLASH_14","Insira moeda para continuar!"
"$SPLASH_15","Gravidade zero, sem preocupações!"
"$SAVESELECT_TITLE","Selecionar Compartimento de Jogo"
"$SAVESELECT_NEW_SAVE","Novo Jogo"
"$SAVESELECT_NAME_PROMPT","Digite o seu nome:"
"$SAVESELECT_NAME_HINT","ENTER para confirmar  •  ESC para cancelar"
"$SAVESELECT_DELETE_CONFIRM","Apagar este jogo?"
"$SAVESELECT_DELETE_WARNING","Isto não pode ser desfeito!"
"$SAVESELECT_BTN_CONTINUE","Continuar"
"$SAVESELECT_BTN_DELETE","Apagar"
"$SAVESELECT_BTN_YES_DELETE","Sim, Apagar"
"$SAVESELECT_BTN_CANCEL","Cancelar"
"$DIALOG_SPEAKER_NAME","CAPITÃO RAY:"
"$DIALOG_SKIP_HINT","X para ignorar, ENTER para continuar"
"$SETTING_CONTROLS","Controlos"
"$CONTROLS_TITLE","Controlos"
"$CONTROLS_MOVE_LEFT","Mover para a esquerda"
"$CONTROLS_MOVE_RIGHT","Mover para a direita"
"$CONTROLS_MOVE_UP","Mover para cima"
"$CONTROLS_MOVE_DOWN","Mover para baixo"
"$CONTROLS_SKIP_DIALOG","Ignorar diálogo"
"$CONTROLS_ADVANCE_DIALOG","Avançar diálogo"
"$CONTROLS_PAUSE_MENU","Menu de pausa"
"$CONTROLS_QUIT_GAME","Sair do jogo"
"$CONTROLS_RESET","Repor"
"$CONTROLS_BACK","Voltar"
"$MODS_TITLE","Mods"
"$MODS_STATUS_ON","[ATIVADO]"
"$MODS_STATUS_OFF","[DESATIVADO]"
"$MODS_INSTRUCTIONS","Use CIMA/BAIXO para navegar, ENTER para alternar"
"$CONTROLS_PRESS_ANY_KEY","Prima qualquer tecla..."
"$CHAPTER_1_TITLE","Capítulo 1 - O Êxodo"
