"flag","content"
"$CAPTAINRAY_INTRODUCTION_01","Добро пожаловать на [color=#4a52e1]борт[/color]. [instant=100]Похоже, вы играете впервые[/instant]. (Нажмите Enter для продолжения)"
"$CAPTAINRAY_INTRODUCTION_02","Хотите пройти краткое руководство? Используйте клавиши влево/вправо для выбора, затем нажмите Enter."
"flag","content"
"$CAPTAINRAY_INTRODUCTION_01","Добро пожаловать на [color=#4a52e1]борт[/color]. [instant=100]Похоже, вы играете впервые[/instant]. (Нажмите Enter для продолжения)"
"$CAPTAINRAY_INTRODUCTION_02","Хотите пройти краткое руководство? Используйте клавиши влево/вправо для выбора, затем нажмите Enter."
"$TUTORIAL_INTERACTION","Когда вы видите светящийся предмет, подойдите к нему и нажмите Enter, чтобы взаимодействовать с ним или собрать его."
"$LETTER_FOUND","Вы [color=yellow]нашли[/color] [color=blue]букву[/color]!"
"$EVACUATION_EVACUATE","ВНИМАНИЕ! НЕМЕДЛЕННО ПОКИНЬТЕ КОРАБЛЬ!"
"$EVACUATION_GATHER_NOTES","Внимание, у нас осталось 5 минут до взрыва корабля. {player}, соберите письма, разбросанные по кораблю. Они содержат код побега."
"$NOTE_COLLECTED","Вы собрали {count} из 6 писем!"
"$COLLECT_ALL_NOTES","Соберите все письма до взрыва корабля!"
"$MOVEMENT_TUTORIAL","[color=yellow]Совет:[/color] Используйте клавиши со стрелками для перемещения по кораблю. Не забывайте собрать все письма!"
"$EVACUATION_EVACUATE","ЧРЕЗВЫЧАЙНАЯ СИТУАЦИЯ! НЕМЕДЛЕННАЯ ЭВАКУАЦИЯ!"
"$EVACUATION_GATHER_NOTES","Все руки на палубу, у нас есть 10 минут до взрыва. {player}, собери письма, разбросанные по кораблю. Они содержат код побега."
"$NOTE_COLLECTED","Вы собрали {count} из 6 писем!"
"$COLLECT_ALL_NOTES","Соберите все письма перед взрывом корабля!"

