"flag","content"
"$LOADING_INIT_DC_RPC","Инициализация Discord RPC..."
"$LOADING_LD_ASSETS","Загрузка ресурсов..."
"$LOADING_DONE","Готово!"
"$MENU_START_BUTTON","Начать"
"$MENU_OPTIONS_BUTTON","Настройки"
"$MENU_CREDITS_BUTTON","Авторы"
"$MENU_EXIT_BUTTON","Выход"
"$COPYRIGHT_NOTICE","© OmgRod 2025 - Все права защищены"
"$GENERAL_YES","Да"
"$GENERAL_NO","Нет"
"$SETTING_VOLUME","Громкость"
"$SETTING_TITLE","Настройки"
"$CREDITS_TITLE","Авторы"
"$GENERAL_PREV","Назад"
"$GENERAL_NEXT","Вперед"
"$GENERAL_BACK","Вернуться"
"$LANGUAGE_NAME","Русский"
"$LANGUAGE_REGION","Россия"
"$SETTING_LANGUAGES","Языки"
"$GENERAL_QUITTING","Выход"
"$CREDITS_SECTION_DEVELOPMENT","РАЗРАБОТКА И ДИЗАЙН ИГРЫ"
"$CREDITS_SECTION_ART","ИСКУССТВО И ГРАФИКА"
"$CREDITS_SECTION_AUDIO","АУДИО"
"$CREDITS_SECTION_WRITING","НАПИСАНИЕ"
"$CREDITS_SECTION_TECHNOLOGY","ТЕХНОЛОГИИ"
"$CREDITS_SECTION_BACKERS","СПОНСОРЫ"
"$CREDITS_SECTION_THANKS","ОСОБАЯ БЛАГОДАРНОСТЬ"
"$CREDITS_ROLE_GAME_DIRECTOR","Директор игры"
"$CREDITS_ROLE_LEAD_PROGRAMMER","Ведущий программист"
"$CREDITS_ROLE_GAME_DESIGNER","Геймдизайнер"
"$CREDITS_ROLE_LEAD_ARTIST","Ведущий художник"
"$CREDITS_ROLE_SPRITE_DESIGN","Дизайн спрайтов"
"$CREDITS_ROLE_UI_DESIGN","Дизайн интерфейса"
"$CREDITS_ROLE_MUSIC_COMPOSER","Композитор"
"$CREDITS_ROLE_SOUND_DESIGN","Звуковой дизайн"
"$CREDITS_ROLE_STORY_WRITER","Сценарист"
"$CREDITS_ROLE_DIALOGUE_WRITER","Автор диалогов"
"$CREDITS_TECH_HAXEFLIXEL","Создано с помощью HaxeFlixel"
"$CREDITS_TECH_HAXE_OPENFL","Работает на Haxe & OpenFL"
"$CREDITS_THANKS_COMMUNITY","Сообщество HaxeFlixel"
"$CREDITS_THANK_YOU","СПАСИБО ЗА ИГРУ!"
"$CREDITS_SKIP_HINT","Нажмите ESC для пропуска"
