"flag","content"
"$CAPTAINRAY_INTRODUCTION_01","欢迎 [color=#4a52e1]登船[/color]。[instant=100]看起来是你第一次[/instant]玩。(按 Enter 继续)"
"$CAPTAINRAY_INTRODUCTION_02","你想快速了解教程吗？使用左右键选择，然后按 Enter。"
"$TUTORIAL_INTERACTION","当你看到发光的物体时，站在它旁边按 Enter 就可以与其相互作用或收集它。"
"$LETTER_FOUND","你已 [color=yellow]找到[/color] 一个 [color=blue]信[/color]！"
"$EVACUATION_EVACUATE","紧急警报！立即撤离船舰！"
"$EVACUATION_GATHER_NOTES","全体人员，还有5分钟船舰就会爆炸。{player}，收集散落在船舰各处的信件。它们包含逃脱代码。"
"$NOTE_COLLECTED","你收集了6个信件中的{count}个！"
"$COLLECT_ALL_NOTES","在船舰爆炸前收集所有信件！"
"$MOVEMENT_TUTORIAL","[color=yellow]提示:[/color] 使用箭头键在船舰中移动。记住收集所有信件！"

