"flag","content"
"$LOADING_INIT_DC_RPC","初始化 Discord RPC..."
"$LOADING_LD_ASSETS","加载资源中..."
"$LOADING_DONE","完成！"
"$MENU_START_BUTTON","开始"
"$MENU_OPTIONS_BUTTON","选项"
"$MENU_CREDITS_BUTTON","制作名单"
"$MENU_EXIT_BUTTON","退出"
"$COPYRIGHT_NOTICE","© OmgRod 2025 - 保留所有权利"
"$GENERAL_YES","是"
"$GENERAL_NO","否"
"$SETTING_VOLUME","音量"
"$SETTING_TITLE","选项"
"$CREDITS_TITLE","制作名单"
"$GENERAL_PREV","上一个"
"$GENERAL_NEXT","下一个"
"$GENERAL_BACK","返回"
"$PAUSE_TITLE","暂停"
"$PAUSE_RESUME","继续"
"$PAUSE_OPTIONS","选项"
"$PAUSE_MAIN_MENU","主菜单"
"$LANGUAGE_NAME","中文"
"$LANGUAGE_REGION","中国"
"$SETTING_LANGUAGES","语言"
"$GENERAL_QUITTING","退出中"
"$CREDITS_SECTION_DEVELOPMENT","游戏设计与开发"
"$CREDITS_SECTION_ART","美术与图形"
"$CREDITS_SECTION_AUDIO","音频"
"$CREDITS_SECTION_WRITING","写作"
"$CREDITS_SECTION_TECHNOLOGY","技术"
"$CREDITS_SECTION_BACKERS","支持者"
"$CREDITS_SECTION_THANKS","特别感谢"
"$CREDITS_ROLE_GAME_DIRECTOR","游戏总监"
"$CREDITS_ROLE_LEAD_PROGRAMMER","首席程序员"
"$CREDITS_ROLE_GAME_DESIGNER","游戏设计师"
"$CREDITS_ROLE_LEAD_ARTIST","首席美术"
"$CREDITS_ROLE_SPRITE_DESIGN","精灵设计"
"$CREDITS_ROLE_UI_DESIGN","UI设计"
"$CREDITS_ROLE_MUSIC_COMPOSER","音乐作曲"
"$CREDITS_ROLE_SOUND_DESIGN","音效设计"
"$CREDITS_ROLE_STORY_WRITER","故事作者"
"$CREDITS_ROLE_DIALOGUE_WRITER","对话作者"
"$CREDITS_TECH_HAXEFLIXEL","由HaxeFlixel构建"
"$CREDITS_TECH_HAXE_OPENFL","由Haxe & OpenFL驱动"
"$CREDITS_THANKS_COMMUNITY","HaxeFlixel社区"
"$CREDITS_THANK_YOU","感谢您的游玩！"
"$CREDITS_SKIP_HINT","按ESC跳过"
